INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I182080009,01107,Fraud,FRAUD - IMPERSONATION,B3,448,,2018-10-03 19:01:00,2018,10,Wednesday,19,Part Two,SPENCER ST,42.29384269,-71.07609427,"(42.29384269, -71.07609427)"
I182080008,03114,Investigate Property,INVESTIGATE PROPERTY,D4,134,,2018-10-03 17:30:00,2018,10,Wednesday,17,Part Three,BOYLSTON ST,42.35009599,-71.07732110,"(42.35009599, -71.07732110)"
I182080007,02646,Liquor Violation,LIQUOR - DRINKING IN PUBLIC,, ,,2018-10-03 15:07:00,2018,10,Wednesday,15,Part Two,STATION,-1.00000000,-1.00000000,"(-1.00000000, -1.00000000)"
I182080006,01849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",, ,,2018-10-03 18:55:00,2018,10,Wednesday,18,Part Two,,42.32784724,-71.07938680,"(42.32784724, -71.07938680)"
I182080005,00724,Auto Theft,AUTO THEFT,B2,183,,2018-10-03 07:00:00,2018,10,Wednesday,7,Part One,LEYLAND ST,42.32066147,-71.07067867,"(42.32066147, -71.07067867)"
I182080004,00724,Auto Theft,AUTO THEFT,C11,387,,2018-10-02 22:30:00,2018,10,Tuesday,22,Part One,BUTLER ST,42.27160123,-71.06211480,"(42.27160123, -71.06211480)"
I182080003,00613,Larceny,LARCENY SHOPLIFTING,C6,214,,2018-10-03 17:45:00,2018,10,Wednesday,17,Part One,W BROADWAY,42.33611200,-71.04665434,"(42.33611200, -71.04665434)"
I182080002,03301,Verbal Disputes,VERBAL DISPUTE,, ,,2018-10-03 17:56:00,2018,10,Wednesday,17,Part Three,,42.32910801,-71.06879344,"(42.32910801, -71.06879344)"
I182080001,03115,Investigate Person,INVESTIGATE PERSON,, ,,2018-10-03 13:25:00,2018,10,Wednesday,13,Part Three,,42.34916815,-71.08079724,"(42.34916815, -71.08079724)"
I182080000,03125,Warrant Arrests,WARRANT ARREST,C6,174,,2018-10-03 17:55:00,2018,10,Wednesday,17,Part Three,ELLERY ST,42.32974270,-71.05826343,"(42.32974270, -71.05826343)"
I182079998,01402,Vandalism,VANDALISM,B2,268,,2018-10-03 17:33:00,2018,10,Wednesday,17,Part Two,DUDLEY ST,42.32832264,-71.07861091,"(42.32832264, -71.07861091)"
I182079996,03201,Property Lost,PROPERTY - LOST,B3,922,,2018-10-01 07:00:00,2018,10,Monday,7,Part Three,DR. MARY MOORE BEATTY CIR,42.27308641,-71.08012900,"(42.27308641, -71.08012900)"
I182079995,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,270,,2018-10-03 17:11:00,2018,10,Wednesday,17,Part Two,HARRISON AVE,42.33455374,-71.07560801,"(42.33455374, -71.07560801)"
I182079994,00619,Larceny,LARCENY ALL OTHERS,A1,67,,2018-10-03 16:49:00,2018,10,Wednesday,16,Part One,CAMBRIDGE ST,42.36110964,-71.06741369,"(42.36110964, -71.06741369)"
I182079993,00724,Auto Theft,AUTO THEFT,D4,157,,2018-10-02 11:00:00,2018,10,Tuesday,11,Part One,AGUADILLA ST,42.34116632,-71.07537694,"(42.34116632, -71.07537694)"
I182079991,00617,Larceny,LARCENY THEFT FROM BUILDING,C6,915,,2018-09-25 11:00:00,2018,9,Tuesday,11,Part One,REV RICHARD A BURKE ST,42.33191971,-71.05210788,"(42.33191971, -71.05210788)"
I182079990,03115,Investigate Person,INVESTIGATE PERSON,, ,,2018-10-03 15:35:00,2018,10,Wednesday,15,Part Three,,42.37765672,-71.06717749,"(42.37765672, -71.06717749)"
I182079989,03115,Investigate Person,INVESTIGATE PERSON,B3,944,,2018-10-03 16:54:00,2018,10,Wednesday,16,Part Three,STRATTON ST,42.28881222,-71.08513152,"(42.28881222, -71.08513152)"
I182079988,00724,Auto Theft,AUTO THEFT,B2,326,,2018-10-02 20:00:00,2018,10,Tuesday,20,Part One,BLUE HILL AVE,42.31432112,-71.07900586,"(42.31432112, -71.07900586)"
I182079987,00616,Larceny,LARCENY THEFT OF BICYCLE,A1,96,,2018-10-03 16:30:00,2018,10,Wednesday,16,Part One,CENTRAL WHARF,42.35895455,-71.05035005,"(42.35895455, -71.05035005)"
I182079986,03115,Investigate Person,INVESTIGATE PERSON,B2,328,,2018-10-03 15:26:00,2018,10,Wednesday,15,Part Three,LAWRENCE AVE,42.31161123,-71.07625600,"(42.31161123, -71.07625600)"
I182079985,03125,Warrant Arrests,WARRANT ARREST,A7,28,,2018-10-03 17:36:00,2018,10,Wednesday,17,Part Three,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I182079984,01300,Recovered Stolen Property,STOLEN PROPERTY - BUYING / RECEIVING / POSSESSING,A7,28,,2018-10-03 16:59:00,2018,10,Wednesday,16,Part Two,LONDON ST,42.37332105,-71.03904550,"(42.37332105, -71.03904550)"
I182079983,02646,Liquor Violation,LIQUOR - DRINKING IN PUBLIC,B2,280,,2018-10-03 17:33:00,2018,10,Wednesday,17,Part Two,DUDLEY ST,42.32863172,-71.08309899,"(42.32863172, -71.08309899)"
I182079982,03114,Investigate Property,INVESTIGATE PROPERTY,D4,624,,2018-10-03 17:27:00,2018,10,Wednesday,17,Part Three,YAWKEY WAY,42.34653820,-71.09880598,"(42.34653820, -71.09880598)"
I182079981,01402,Vandalism,VANDALISM,C11,359,,2018-10-03 16:25:00,2018,10,Wednesday,16,Part Two,TREMLETT ST,42.29472275,-71.07058534,"(42.29472275, -71.07058534)"
I182079980,00619,Larceny,LARCENY ALL OTHERS,B2,268,,2018-10-02 15:00:00,2018,10,Tuesday,15,Part One,ALBANY ST,42.33076942,-71.07766482,"(42.33076942, -71.07766482)"
I182079979,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,255,,2018-10-03 15:13:00,2018,10,Wednesday,15,Part Three,DORCHESTER AVE,42.31091044,-71.05767414,"(42.31091044, -71.05767414)"
I182079978,00619,Larceny,LARCENY ALL OTHERS,C11,817,,2018-06-04 09:00:00,2018,6,Monday,9,Part One,TALBOT AVE,42.28714820,-71.06493039,"(42.28714820, -71.06493039)"
I182079978,03114,Investigate Property,INVESTIGATE PROPERTY,C11,817,,2018-06-04 09:00:00,2018,6,Monday,9,Part Three,TALBOT AVE,42.28714820,-71.06493039,"(42.28714820, -71.06493039)"
I182079977,03115,Investigate Person,INVESTIGATE PERSON,, ,,2018-10-03 15:50:00,2018,10,Wednesday,15,Part Three,SAINT MARY'S,-1.00000000,-1.00000000,"(-1.00000000, -1.00000000)"
I182079974,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,D14,773,,2018-10-01 19:00:00,2018,10,Monday,19,Part Three,COLWELL AVE,42.34259153,-71.15581674,"(42.34259153, -71.15581674)"
I182079973,00613,Larceny,LARCENY SHOPLIFTING,A1,94,,2018-10-03 13:40:00,2018,10,Wednesday,13,Part One,FANEUIL HALL MARKETPLACE,42.35997967,-71.05474135,"(42.35997967, -71.05474135)"
I182079972,03201,Property Lost,PROPERTY - LOST,D4,129,,2018-10-03 08:30:00,2018,10,Wednesday,8,Part Three,BERKELEY ST,42.34997636,-71.07242619,"(42.34997636, -71.07242619)"
I182079971,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,E18,485,,2018-10-03 11:30:00,2018,10,Wednesday,11,Part One,HOLLINGSWORTH ST,42.26615607,-71.10118143,"(42.26615607, -71.10118143)"
I182079970,00724,Auto Theft,AUTO THEFT,B3,469,,2018-10-03 08:00:00,2018,10,Wednesday,8,Part One,TENNIS RD,42.27615691,-71.09550303,"(42.27615691, -71.09550303)"
I182079969,03820,Motor Vehicle Accident Response,M/V ACCIDENT INVOLVING PEDESTRIAN - INJURY,B2,613,,2018-10-03 15:51:00,2018,10,Wednesday,15,Part Three,LONGWOOD AVE,42.33972732,-71.10868260,"(42.33972732, -71.10868260)"
I182079968,03007,Medical Assistance,SUDDEN DEATH,E13,610,,2018-10-03 15:30:00,2018,10,Wednesday,15,Part Three,PERKINS ST,42.32101722,-71.11619250,"(42.32101722, -71.11619250)"
I182079967,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B2,587,,2018-10-03 15:16:00,2018,10,Wednesday,15,Part Three,ALLEGHANY ST,42.33056977,-71.09959089,"(42.33056977, -71.09959089)"
I182079966,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,, ,,2018-10-03 16:24:00,2018,10,Wednesday,16,Part One,,42.33382615,-71.08251021,"(42.33382615, -71.08251021)"
I182079965,00619,Larceny,LARCENY ALL OTHERS,C6,230,,2018-10-03 16:12:00,2018,10,Wednesday,16,Part One,K ST,42.33267791,-71.03733735,"(42.33267791, -71.03733735)"
I182079964,01849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",A7,28,,2018-10-03 14:45:00,2018,10,Wednesday,14,Part Two,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I182079963,02007,Restraining Order Violations,VIOL. OF RESTRAINING ORDER W NO ARREST,A1,111,,2018-10-03 15:00:00,2018,10,Wednesday,15,Part Two,BOYLSTON ST,42.35231190,-71.06370510,"(42.35231190, -71.06370510)"
I182079962,00619,Larceny,LARCENY ALL OTHERS,A1,92,,2018-09-28 10:00:00,2018,9,Friday,10,Part One,COURT ST,42.35892279,-71.05835354,"(42.35892279, -71.05835354)"
I182079961,03207,Property Found,PROPERTY - FOUND,A1,78,,2018-10-03 16:37:00,2018,10,Wednesday,16,Part Three,HANOVER ST,42.36179428,-71.05711270,"(42.36179428, -71.05711270)"
I182079960,03115,Investigate Person,INVESTIGATE PERSON,A15,41,,2018-10-03 15:54:00,2018,10,Wednesday,15,Part Three,BUNKER HILL ST,42.37679994,-71.05700887,"(42.37679994, -71.05700887)"
I182079959,03501,Missing Person Reported,MISSING PERSON,A1,114,,2018-10-02 22:00:00,2018,10,Tuesday,22,Part Three,ATLANTIC AVE,42.35321626,-71.05451958,"(42.35321626, -71.05451958)"
I182079958,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,, ,,2018-10-03 15:49:00,2018,10,Wednesday,15,Part Three,,42.33506554,-71.07879088,"(42.33506554, -71.07879088)"
I182079957,02629,Harassment,HARASSMENT,A1,110,,2017-05-01 09:00:00,2017,5,Monday,9,Part Two,OLIVER ST,42.35563262,-71.05264582,"(42.35563262, -71.05264582)"
I182079957,02647,Other,THREATS TO DO BODILY HARM,A1,110,,2017-05-01 09:00:00,2017,5,Monday,9,Part Two,OLIVER ST,42.35563262,-71.05264582,"(42.35563262, -71.05264582)"
I182079956,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,E18,822,,2018-10-03 16:00:00,2018,10,Wednesday,16,Part Three,ALWIN ST,42.25469908,-71.14355299,"(42.25469908, -71.14355299)"
I182079955,03201,Property Lost,PROPERTY - LOST,B2,316,,2018-09-24 16:23:00,2018,9,Monday,16,Part Three,HOMESTEAD ST,42.31342215,-71.09348975,"(42.31342215, -71.09348975)"
I182079954,01402,Vandalism,VANDALISM,B2,310,,2018-10-02 11:00:00,2018,10,Tuesday,11,Part Two,MARTIN LUTHER KING JR BLV,42.31847226,-71.08409289,"(42.31847226, -71.08409289)"
I182079954,02629,Harassment,HARASSMENT,B2,310,,2018-10-02 11:00:00,2018,10,Tuesday,11,Part Two,MARTIN LUTHER KING JR BLV,42.31847226,-71.08409289,"(42.31847226, -71.08409289)"
I182079952,00619,Larceny,LARCENY ALL OTHERS,A7,16,,2018-10-03 14:31:00,2018,10,Wednesday,14,Part One,E EAGLE ST,42.38134495,-71.03238071,"(42.38134495, -71.03238071)"
I182079952,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,A7,16,,2018-10-03 14:31:00,2018,10,Wednesday,14,Part Two,E EAGLE ST,42.38134495,-71.03238071,"(42.38134495, -71.03238071)"
I182079951,03501,Missing Person Reported,MISSING PERSON,C11,345,,2018-10-03 14:20:00,2018,10,Wednesday,14,Part Three,RIDGEWOOD ST,42.30209443,-71.06575183,"(42.30209443, -71.06575183)"
I182079950,01830,Drug Violation,DRUGS - SICK ASSIST - HEROIN,A7,12,,2018-10-03 15:09:00,2018,10,Wednesday,15,Part Two,BENNINGTON ST,42.38630618,-71.00772965,"(42.38630618, -71.00772965)"
I182079949,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A1,68,,2018-10-03 14:15:00,2018,10,Wednesday,14,Part Three,HANCOCK ST,42.36025385,-71.06447113,"(42.36025385, -71.06447113)"
I182079948,01106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,A15,45,,2018-10-03 15:37:00,2018,10,Wednesday,15,Part Two,MEDFORD ST,42.38099773,-71.06210065,"(42.38099773, -71.06210065)"
I182079947,03801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,B2,904,,2018-10-03 15:34:00,2018,10,Wednesday,15,Part Three,DEGAUTIER WAY,42.33050964,-71.08034174,"(42.33050964, -71.08034174)"
I182079946,03125,Warrant Arrests,WARRANT ARREST,B2,904,,2018-10-03 15:13:00,2018,10,Wednesday,15,Part Three,EUSTIS ST,42.33077484,-71.08061991,"(42.33077484, -71.08061991)"
I182079945,01843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,A1,113,,2018-10-03 14:55:00,2018,10,Wednesday,14,Part Two,EDINBORO ST,42.35254597,-71.05981712,"(42.35254597, -71.05981712)"
I182079944,03208,Property Lost,PROPERTY - MISSING,B2,602,,2018-10-03 15:33:00,2018,10,Wednesday,15,Part Three,TREMONT ST,42.33380683,-71.10377843,"(42.33380683, -71.10377843)"
I182079943,02647,Other,THREATS TO DO BODILY HARM,, ,,2018-10-03 14:26:00,2018,10,Wednesday,14,Part Two,,42.32138096,-71.07220090,"(42.32138096, -71.07220090)"
I182079942,00613,Larceny,LARCENY SHOPLIFTING,A1,103,,2018-10-03 14:47:00,2018,10,Wednesday,14,Part One,WASHINGTON ST,42.35680075,-71.05893025,"(42.35680075, -71.05893025)"
I182079941,00619,Larceny,LARCENY ALL OTHERS,B2,296,,2018-10-03 14:54:00,2018,10,Wednesday,14,Part One,WARREN ST,42.32221645,-71.08206723,"(42.32221645, -71.08206723)"
I182079940,02660,Other,OTHER OFFENSE,C6,914,,2018-10-03 14:22:00,2018,10,Wednesday,14,Part Two,COLONEL MICHAEL J. MCDONO,42.32790482,-71.05305583,"(42.32790482, -71.05305583)"
I182079939,02662,Ballistics,BALLISTICS EVIDENCE/FOUND,A7,25,,2018-10-01 09:00:00,2018,10,Monday,9,Part Two,WHITE ST,42.38053652,-71.03885017,"(42.38053652, -71.03885017)"
I182079938,01109,Fraud,FRAUD - WIRE,C6,193,,2018-09-23 12:00:00,2018,9,Sunday,12,Part Two,PREBLE ST,42.32945117,-71.05665934,"(42.32945117, -71.05665934)"
I182079936,02647,Other,THREATS TO DO BODILY HARM,D4,131,,2018-10-03 14:04:00,2018,10,Wednesday,14,Part Two,BEACON ST,42.35505244,-71.07390742,"(42.35505244, -71.07390742)"
I182079936,01102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,D4,131,,2018-10-03 14:04:00,2018,10,Wednesday,14,Part Two,BEACON ST,42.35505244,-71.07390742,"(42.35505244, -71.07390742)"
I182079934,01849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",B2,179,,2018-10-03 14:55:00,2018,10,Wednesday,14,Part Two,GERARD ST,42.33130578,-71.07194742,"(42.33130578, -71.07194742)"
I182079933,03207,Property Found,PROPERTY - FOUND,E5,691,,2018-10-03 14:30:00,2018,10,Wednesday,14,Part Three,CENTRE ST,42.28709355,-71.14822128,"(42.28709355, -71.14822128)"
I182079932,02662,Ballistics,BALLISTICS EVIDENCE/FOUND,A7,28,,2018-10-03 08:00:00,2018,10,Wednesday,8,Part Two,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I182079931,02007,Restraining Order Violations,VIOL. OF RESTRAINING ORDER W NO ARREST,C6,228,,2018-10-03 12:40:00,2018,10,Wednesday,12,Part Two,E FIFTH ST,42.33409863,-71.02652570,"(42.33409863, -71.02652570)"
I182079930,03802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY �DAMAGE,E18,520,,2018-10-03 14:12:00,2018,10,Wednesday,14,Part Three,RIVER ST,42.25602841,-71.12190725,"(42.25602841, -71.12190725)"
I182079929,00612,Larceny,LARCENY PURSE SNATCH - NO FORCE ,C11,361,,2018-10-02 15:30:00,2018,10,Tuesday,15,Part One,MELVILLE AVE,42.29455164,-71.06718937,"(42.29455164, -71.06718937)"
I182079928,00801,Simple Assault,ASSAULT - SIMPLE,E18,520,,2018-10-03 13:50:00,2018,10,Wednesday,13,Part Two,HYDE PARK AVE,42.25621592,-71.12401947,"(42.25621592, -71.12401947)"
I182079928,01402,Vandalism,VANDALISM,E18,520,,2018-10-03 13:50:00,2018,10,Wednesday,13,Part Two,HYDE PARK AVE,42.25621592,-71.12401947,"(42.25621592, -71.12401947)"
I182079925,03207,Property Found,PROPERTY - FOUND,, ,,2018-10-03 12:30:00,2018,10,Wednesday,12,Part Three,,42.30924710,-71.13444833,"(42.30924710, -71.13444833)"
I182079924,01402,Vandalism,VANDALISM,A15,58,,2018-10-02 19:00:00,2018,10,Tuesday,19,Part Two,PHIPPS ST,42.37688903,-71.06684611,"(42.37688903, -71.06684611)"
I182079923,03125,Warrant Arrests,WARRANT ARREST,C11,398,,2018-10-03 13:25:00,2018,10,Wednesday,13,Part Three,WASHINGTON ST,42.28873871,-71.07112627,"(42.28873871, -71.07112627)"
I182079922,03125,Warrant Arrests,WARRANT ARREST,E13,916,,2018-10-03 14:00:00,2018,10,Wednesday,14,Part Three,BICKFORD ST,42.32483301,-71.10164757,"(42.32483301, -71.10164757)"
I182079920,02906,Violations,VAL - OPERATING UNREG/UNINS �CAR,B3,418,,2018-10-03 13:46:00,2018,10,Wednesday,13,Part Two,MORTON ST,42.28061230,-71.08350146,"(42.28061230, -71.08350146)"
I182079920,02907,Violations,VAL - OPERATING AFTER REV/SUSP.,B3,418,,2018-10-03 13:46:00,2018,10,Wednesday,13,Part Two,MORTON ST,42.28061230,-71.08350146,"(42.28061230, -71.08350146)"
I182079919,02629,Harassment,HARASSMENT,D14,792,,2018-10-03 13:00:00,2018,10,Wednesday,13,Part Two,COMMONWEALTH CT,42.34614027,-71.14003692,"(42.34614027, -71.14003692)"
